Game;Date;SeasonType;Opponent;HomeAway;Result;TeamScore;OppScore;OT;Status;Min;Pts;ORb;DRb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;3PM;3PA;FTM;FTA
1;19.10.2021;Regular Season;Lakers;Away;W;121;114;;Played;36;21;1;9;10;10;3;0;4;1;5;21;2;8;9;9
2;21.10.2021;Regular Season;Clippers;Home;W;115;113;;Played;38;45;0;10;10;1;1;1;6;2;16;25;8;13;5;5
3;24.10.2021;Regular Season;Kings;Away;W;119;107;;Played;35;27;1;6;7;10;3;0;3;1;9;23;4;15;5;6
4;26.10.2021;Regular Season;Thunder;Away;W;106;98;;Played;32;23;1;5;6;4;0;1;4;1;6;14;4;9;7;7
5;28.10.2021;Regular Season;Grizzlies;Home;L;101;104;OT;Played;41;36;1;6;7;8;1;0;5;2;11;29;7;20;7;7
6;30.10.2021;Regular Season;Thunder;Home;W;103;82;;Played;27;20;0;5;5;6;1;1;2;1;7;16;6;15;0;0
7;03.11.2021;Regular Season;Hornets;Home;W;114;92;;Played;35;15;1;7;8;9;1;1;4;3;6;15;3;11;0;0
8;05.11.2021;Regular Season;Pelicans;Home;W;126;85;;Played;30;19;0;3;3;6;0;2;1;1;5;16;5;13;4;4
9;07.11.2021;Regular Season;Rockets;Home;W;120;107;;Played;27;20;2;1;3;2;3;0;0;3;8;16;4;11;0;0
10;08.11.2021;Regular Season;Hawks;Home;W;127;113;;Played;35;50;2;5;7;10;4;1;2;0;14;28;9;19;13;13
11;10.11.2021;Regular Season;Timberwolves;Home;W;123;110;;Played;34;25;0;5;5;6;1;0;3;2;8;16;3;9;6;8
12;12.11.2021;Regular Season;Bulls;Home;W;119;93;;Played;34;40;0;4;4;5;1;1;6;1;15;24;9;17;1;1
13;14.11.2021;Regular Season;Hornets;Away;L;102;106;;Played;36;24;1;5;6;10;3;1;3;2;7;22;3;13;7;7
14;16.11.2021;Regular Season;Nets;Away;W;117;99;;Played;29;37;0;7;7;5;2;1;2;4;12;19;9;14;4;4
15;18.11.2021;Regular Season;Cavaliers;Away;W;104;89;;Played;35;40;0;4;4;6;2;0;3;4;15;27;9;16;1;1
16;19.11.2021;Regular Season;Pistons;Away;W;105;102;;DNP - Inactive;;;;;;;;;;;;;;;;
17;21.11.2021;Regular Season;Raptors;Home;W;119;104;;Played;37;12;0;2;2;8;1;0;4;1;2;10;1;6;7;7
18;24.11.2021;Regular Season;76ers;Home;W;116;96;;Played;35;25;0;4;4;10;1;0;4;1;9;16;6;11;1;2
19;26.11.2021;Regular Season;Trail Blazers;Home;W;118;103;;Played;38;32;0;7;7;8;1;0;3;2;12;25;6;15;2;3
20;28.11.2021;Regular Season;Clippers;Away;W;105;90;;Played;35;33;0;5;5;6;6;0;3;4;12;22;7;13;2;2
21;30.11.2021;Regular Season;Suns;Away;L;96;104;;Played;36;12;1;2;3;2;1;1;2;0;4;21;3;14;1;1
22;03.12.2021;Regular Season;Suns;Home;W;118;96;;Played;33;23;2;3;5;5;0;0;3;2;8;20;6;11;1;2
23;04.12.2021;Regular Season;Spurs;Home;L;107;112;;Played;37;27;1;7;8;5;3;0;1;1;7;28;5;17;8;9
24;06.12.2021;Regular Season;Magic;Home;W;126;95;;Played;31;31;0;3;3;8;2;0;3;2;8;16;7;13;8;8
25;08.12.2021;Regular Season;Trail Blazers;Home;W;104;94;;Played;33;22;2;0;2;2;1;0;4;3;8;19;6;17;0;0
26;11.12.2021;Regular Season;76ers;Away;L;93;102;;Played;36;18;2;7;9;5;0;0;3;1;6;20;3;14;3;4
27;13.12.2021;Regular Season;Pacers;Away;W;102;100;;Played;35;26;1;5;6;6;1;1;7;1;8;20;5;15;5;5
28;14.12.2021;Regular Season;Knicks;Away;W;105;96;;Played;35;22;0;3;3;3;1;1;4;4;8;19;5;14;1;2
29;17.12.2021;Regular Season;Celtics;Away;W;111;107;;Played;35;30;1;4;5;4;1;0;6;6;8;21;5;14;9;9
30;18.12.2021;Regular Season;Raptors;Away;L;100;119;;DNP - Inactive;;;;;;;;;;;;;;;;
31;20.12.2021;Regular Season;Kings;Home;W;113;98;;Played;36;30;0;3;3;4;0;2;4;1;13;27;4;12;0;1
32;23.12.2021;Regular Season;Grizzlies;Home;W;113;104;;Played;37;46;0;4;4;4;2;0;3;1;13;22;8;14;12;12
33;25.12.2021;Regular Season;Suns;Away;W;116;107;;Played;37;33;0;4;4;6;3;1;1;3;10;27;5;16;8;9
34;28.12.2021;Regular Season;Nuggets;Home;L;86;89;;Played;39;23;0;4;4;4;0;0;6;3;6;16;5;14;6;7
35;01.01.2022;Regular Season;Jazz;Away;W;123;116;;Played;36;28;0;6;6;9;0;1;3;3;8;18;6;12;6;7
36;03.01.2022;Regular Season;Heat;Home;W;115;108;;Played;32;9;0;3;3;10;0;1;2;3;3;17;1;10;2;2
37;05.01.2022;Regular Season;Mavericks;Away;L;82;99;;Played;36;14;0;9;9;5;0;1;5;2;5;24;1;9;3;4
38;06.01.2022;Regular Season;Pelicans;Away;L;96;101;;DNP - Inactive;;;;;;;;;;;;;;;;
39;09.01.2022;Regular Season;Cavaliers;Home;W;96;82;;Played;37;28;3;2;5;5;1;0;5;3;10;21;4;11;4;4
40;11.01.2022;Regular Season;Grizzlies;Away;L;108;116;;Played;39;27;1;9;10;10;2;0;3;3;8;21;2;9;9;10
41;13.01.2022;Regular Season;Bucks;Away;L;99;118;;Played;29;12;0;8;8;4;2;0;4;0;4;11;2;6;2;2
42;14.01.2022;Regular Season;Bulls;Away;W;138;96;;Played;28;19;0;2;2;2;1;0;1;0;7;15;4;10;1;2
43;16.01.2022;Regular Season;Timberwolves;Away;L;99;119;;DNP - Inactive;;;;;;;;;;;;;;;;
44;18.01.2022;Regular Season;Pistons;Home;W;102;86;;Played;29;18;0;3;3;8;3;0;1;1;6;11;4;8;2;2
45;20.01.2022;Regular Season;Pacers;Home;L;117;121;OT;Played;44;39;0;5;5;8;1;0;2;3;12;27;6;16;9;9
46;21.01.2022;Regular Season;Rockets;Home;W;105;103;;Played;39;22;0;4;4;12;1;1;2;3;6;21;4;13;6;8
47;23.01.2022;Regular Season;Jazz;Home;W;94;92;;Played;35;13;2;2;4;6;0;0;1;0;5;20;1;13;2;2
48;25.01.2022;Regular Season;Mavericks;Home;W;130;92;;Played;29;18;2;7;9;7;1;0;4;3;7;16;2;10;2;3
49;27.01.2022;Regular Season;Timberwolves;Home;W;124;115;;Played;38;29;0;8;8;6;3;0;4;1;10;20;6;10;3;3
50;29.01.2022;Regular Season;Nets;Home;W;110;106;;Played;36;19;2;5;7;8;3;0;5;5;5;18;3;10;6;6
51;31.01.2022;Regular Season;Rockets;Away;W;122;108;;Played;38;40;0;5;5;9;1;1;1;0;13;23;7;14;7;8
52;01.02.2022;Regular Season;Spurs;Away;W;124;120;;DNP - Inactive;;;;;;;;;;;;;;;;
53;03.02.2022;Regular Season;Kings;Home;W;126;114;;Played;32;20;0;1;1;7;2;0;4;4;7;11;4;7;2;2
54;07.02.2022;Regular Season;Thunder;Away;W;110;98;;Played;37;18;0;9;9;10;1;0;4;2;6;12;4;10;2;2
55;09.02.2022;Regular Season;Jazz;Away;L;85;111;;Played;30;16;1;6;7;2;0;0;4;2;5;13;3;8;3;4
56;10.02.2022;Regular Season;Knicks;Home;L;114;116;;Played;39;35;0;2;2;10;1;0;3;5;11;25;5;16;8;8
57;12.02.2022;Regular Season;Lakers;Home;W;117;115;;Played;37;24;0;5;5;8;1;0;2;3;7;17;1;8;9;9
58;14.02.2022;Regular Season;Clippers;Away;L;104;119;;Played;34;33;0;2;2;2;0;0;4;2;11;18;8;13;3;3
59;16.02.2022;Regular Season;Nuggets;Home;L;116;117;;Played;39;25;0;3;3;6;0;0;2;2;10;19;1;7;4;4
60;24.02.2022;Regular Season;Trail Blazers;Away;W;132;95;;Played;27;18;0;5;5;14;1;1;3;3;5;11;2;7;6;6
61;27.02.2022;Regular Season;Mavericks;Home;L;101;107;;Played;38;27;1;3;4;10;2;0;1;0;11;25;3;10;2;4
62;01.03.2022;Regular Season;Timberwolves;Away;L;114;129;;Played;33;34;1;4;5;4;0;0;4;1;10;24;5;16;9;9
63;03.03.2022;Regular Season;Mavericks;Away;L;113;122;;Played;40;21;0;5;5;9;1;0;3;3;8;15;4;5;1;1
64;05.03.2022;Regular Season;Lakers;Away;L;116;124;;Played;36;30;0;4;4;1;0;0;4;0;13;22;4;9;0;0
65;07.03.2022;Regular Season;Nuggets;Away;L;124;131;;DNP - Inactive;;;;;;;;;;;;;;;;
66;08.03.2022;Regular Season;Clippers;Home;W;112;97;;Played;35;15;0;5;5;5;3;0;4;4;5;12;1;6;4;4
67;10.03.2022;Regular Season;Nuggets;Away;W;113;102;;Played;38;34;0;9;9;3;2;0;2;1;11;21;5;12;7;7
