Game;Date;SeasonType;Opponent;HomeAway;Result;TeamScore;OppScore;OT;Status;Min;Pts;ORb;DRb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;3PM;3PA;FTM;FTA
1;18.10.2022;Regular Season;Lakers;Home;W;123;109;;Played;33;33;1;5;6;7;4;1;4;1;10;22;4;13;9;9
2;21.10.2022;Regular Season;Nuggets;Home;L;123;128;;Played;36;34;1;4;5;4;0;0;3;2;10;22;5;11;9;9
3;23.10.2022;Regular Season;Kings;Home;W;130;125;;Played;31;33;0;5;5;2;1;0;2;3;11;22;7;12;4;4
4;25.10.2022;Regular Season;Suns;Away;L;105;134;;Played;30;21;0;7;7;8;1;0;1;1;7;17;4;9;3;5
5;27.10.2022;Regular Season;Heat;Home;W;123;110;;Played;37;33;1;6;7;9;1;0;3;0;13;22;7;14;0;0
6;29.10.2022;Regular Season;Hornets;Away;L;113;120;OT;Played;39;31;0;11;11;6;1;0;2;5;10;22;3;13;8;8
7;30.10.2022;Regular Season;Pistons;Away;L;114;128;;Played;35;32;0;6;6;3;2;0;1;1;10;24;4;14;8;9
8;01.11.2022;Regular Season;Heat;Away;L;109;116;;Played;35;23;4;9;13;13;1;0;5;3;7;14;4;10;5;5
9;03.11.2022;Regular Season;Magic;Away;L;129;130;;Played;38;39;1;2;3;9;0;0;5;3;13;22;8;15;5;5
10;04.11.2022;Regular Season;Pelicans;Away;L;105;114;;DNP - Inactive;;;;;;;;;;;;;;;;
11;07.11.2022;Regular Season;Kings;Home;W;116;113;;Played;38;47;0;8;8;8;0;0;0;2;17;24;7;12;6;7
12;11.11.2022;Regular Season;Cavaliers;Home;W;106;101;;Played;34;40;0;4;4;5;1;0;2;4;15;23;6;11;4;6
13;13.11.2022;Regular Season;Kings;Away;L;115;122;;Played;37;27;0;6;6;4;1;0;4;0;9;17;3;9;6;6
14;14.11.2022;Regular Season;Spurs;Home;W;132;95;;Played;27;16;1;4;5;5;1;0;1;1;5;11;3;7;3;3
15;16.11.2022;Regular Season;Suns;Away;L;119;130;;Played;36;50;0;9;9;6;0;1;3;2;17;28;7;11;9;9
16;18.11.2022;Regular Season;Knicks;Home;W;111;101;;Played;34;24;0;6;6;10;2;0;5;2;9;19;5;13;1;3
17;20.11.2022;Regular Season;Rockets;Away;W;127;120;;Played;37;33;0;6;6;15;3;2;1;3;11;20;7;14;4;5
18;21.11.2022;Regular Season;Pelicans;Away;L;83;128;;DNP - Inactive;;;;;;;;;;;;;;;;
19;23.11.2022;Regular Season;Clippers;Home;W;124;107;;Played;32;22;1;5;6;9;0;0;1;0;9;20;4;10;0;0
20;25.11.2022;Regular Season;Jazz;Home;W;129;118;;Played;36;33;0;5;5;4;2;0;5;4;13;23;6;13;1;1
21;27.11.2022;Regular Season;Timberwolves;Away;W;137;114;;Played;33;25;1;10;11;8;1;0;7;1;7;17;4;11;7;7
22;29.11.2022;Regular Season;Mavericks;Away;L;113;116;;Played;38;32;1;4;5;5;0;0;4;4;11;24;5;14;5;6
23;02.12.2022;Regular Season;Bulls;Home;W;119;111;;Played;33;19;0;11;11;6;0;1;6;5;6;16;4;8;3;3
24;03.12.2022;Regular Season;Rockets;Home;W;120;101;;Played;35;30;0;3;3;10;1;1;4;0;10;21;8;17;2;3
25;05.12.2022;Regular Season;Pacers;Home;L;104;112;;Played;38;12;0;4;4;6;1;0;3;2;3;17;2;10;4;4
26;07.12.2022;Regular Season;Jazz;Away;L;123;124;;DNP - Inactive;;;;;;;;;;;;;;;;
27;10.12.2022;Regular Season;Celtics;Home;W;123;107;;Played;37;32;1;5;6;7;0;1;4;3;12;21;6;11;2;2
28;13.12.2022;Regular Season;Bucks;Away;L;111;128;;Played;27;20;2;4;6;1;1;1;2;0;6;17;3;10;5;5
29;14.12.2022;Regular Season;Pacers;Away;L;119;125;;Played;30;38;1;6;7;7;2;1;3;2;11;19;5;10;11;11
30;16.12.2022;Regular Season;76ers;Away;L;106;118;;DNP - Inactive;;;;;;;;;;;;;;;;
