Game;Date;SeasonType;Opponent;HomeAway;Result;TeamScore;OppScore;OT;Status;Min;Pts;ORb;DRb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;3PM;3PA;FTM;FTA
1;24.10.2019;Regular Season;Clippers;Home;L;122;141;;Played;30;23;1;3;4;4;1;0;8;3;8;20;2;11;5;5
2;27.10.2019;Regular Season;Thunder;Away;L;92;120;;Played;30;23;2;6;8;5;0;0;2;0;7;18;2;9;7;7
3;28.10.2019;Regular Season;Pelicans;Away;W;134;123;;Played;31;26;1;2;3;11;3;0;1;5;9;17;4;10;4;4
4;30.10.2019;Regular Season;Suns;Home;L;110;121;;Played;21;9;0;5;5;6;1;2;4;2;3;11;1;7;2;2
5;01.11.2019;Regular Season;Spurs;Home;L;110;127;;DNP - Inactive;;;;;;;;;;;;;;;;
6;02.11.2019;Regular Season;Hornets;Home;L;87;93;;DNP - Inactive;;;;;;;;;;;;;;;;
7;04.11.2019;Regular Season;Trail Blazers;Home;W;127;118;;DNP - Inactive;;;;;;;;;;;;;;;;
8;06.11.2019;Regular Season;Rockets;Away;L;112;129;;DNP - Inactive;;;;;;;;;;;;;;;;
9;08.11.2019;Regular Season;Timberwolves;Away;L;119;125;OT;DNP - Inactive;;;;;;;;;;;;;;;;
10;09.11.2019;Regular Season;Thunder;Away;L;108;114;;DNP - Inactive;;;;;;;;;;;;;;;;
11;11.11.2019;Regular Season;Jazz;Home;L;108;122;;DNP - Inactive;;;;;;;;;;;;;;;;
12;13.11.2019;Regular Season;Lakers;Away;L;94;120;;DNP - Inactive;;;;;;;;;;;;;;;;
13;15.11.2019;Regular Season;Celtics;Home;L;100;105;;DNP - Inactive;;;;;;;;;;;;;;;;
14;17.11.2019;Regular Season;Pelicans;Away;L;100;108;;DNP - Inactive;;;;;;;;;;;;;;;;
15;19.11.2019;Regular Season;Grizzlies;Away;W;114;95;;DNP - Inactive;;;;;;;;;;;;;;;;
16;20.11.2019;Regular Season;Mavericks;Away;L;94;142;;DNP - Inactive;;;;;;;;;;;;;;;;
