Game;Date;SeasonType;Opponent;HomeAway;Result;TeamScore;OppScore;OT;Status;Min;Pts;ORb;DRb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;3PM;3PA;FTM;FTA
1;23.10.2024;Regular Season;Trail Blazers;Away;W;140;104;;Played;25;17;0;9;9;10;2;0;2;0;4;10;3;7;6;6
2;25.10.2024;Regular Season;Jazz;Away;W;127;86;;Played;27;20;0;3;3;4;2;0;3;3;7;20;4;13;2;2
3;27.10.2024;Regular Season;Clippers;Home;L;104;112;;Played;27;18;0;4;4;6;2;1;6;1;6;11;4;7;2;2
4;29.10.2024;Regular Season;Pelicans;Home;W;124;106;;DNP - Inactive - Injury/illness;;;;;;;;;;;;;;;;
5;30.10.2024;Regular Season;Pelicans;Home;W;104;89;;DNP - Inactive - Injury/illness;;;;;;;;;;;;;;;;
6;02.11.2024;Regular Season;Rockets;Away;W;127;121;OT;DNP - Inactive - Injury/illness;;;;;;;;;;;;;;;;
7;04.11.2024;Regular Season;Wizards;Away;W;125;112;;Played;24;24;1;2;3;6;0;0;2;1;7;15;4;9;6;6
8;06.11.2024;Regular Season;Celtics;Away;W;118;112;;Played;34;27;0;7;7;9;4;1;3;2;8;17;4;9;7;7
9;08.11.2024;Regular Season;Cavaliers;Away;L;117;136;;Played;24;12;0;1;1;2;2;0;6;0;5;10;1;4;1;1
10;10.11.2024;Regular Season;Thunder;Away;W;127;116;;Played;37;36;1;4;5;7;1;1;3;2;13;23;7;13;3;4
11;12.11.2024;Regular Season;Mavericks;Home;W;120;117;;Played;35;37;0;6;6;9;1;2;4;2;14;27;5;12;4;5
12;15.11.2024;Regular Season;Grizzlies;Home;W;123;118;;Played;26;13;1;7;8;5;4;0;3;2;4;9;3;7;2;2
13;18.11.2024;Regular Season;Clippers;Away;L;99;102;;Played;32;26;1;6;7;6;0;1;3;1;10;21;6;15;0;0
14;20.11.2024;Regular Season;Hawks;Home;W;120;97;;Played;30;23;0;4;4;8;2;1;5;0;7;10;4;6;5;5
15;22.11.2024;Regular Season;Pelicans;Away;W;112;108;;Played;33;19;0;7;7;7;1;1;4;3;6;13;4;7;3;3
16;23.11.2024;Regular Season;Spurs;Away;L;94;104;;Played;32;14;2;5;7;5;0;0;3;1;5;16;3;10;1;1
17;25.11.2024;Regular Season;Nets;Home;L;120;128;;Played;29;28;0;4;4;7;1;0;3;0;8;17;8;16;4;4
18;27.11.2024;Regular Season;Thunder;Home;L;101;105;;DNP - Inactive - Injury/illness;;;;;;;;;;;;;;;;
19;30.11.2024;Regular Season;Suns;Away;L;105;113;;Played;32;23;1;6;7;4;0;0;0;1;8;21;3;10;4;5
20;03.12.2024;Regular Season;Nuggets;Away;L;115;119;;Played;34;24;1;6;7;11;0;0;5;0;8;23;4;15;4;4
21;05.12.2024;Regular Season;Rockets;Home;W;99;93;;DNP - Inactive - Injury/illness;;;;;;;;;;;;;;;;
22;06.12.2024;Regular Season;Timberwolves;Home;L;90;107;;Played;32;23;1;1;2;4;0;0;3;0;6;17;3;9;8;8
23;08.12.2024;Regular Season;Timberwolves;Home;W;114;106;;Played;35;30;0;4;4;8;1;0;3;0;8;18;5;11;9;11
24;11.12.2024;Regular Season;Rockets;Away;L;90;91;;Played;34;19;1;2;3;5;2;1;1;0;8;17;3;9;0;1
25;15.12.2024;Regular Season;Mavericks;Home;L;133;143;;Played;35;26;0;5;5;10;1;0;2;1;9;19;7;13;1;1
26;19.12.2024;Regular Season;Grizzlies;Away;L;93;144;;Played;24;2;0;3;3;1;1;1;2;0;0;7;0;6;2;2
27;21.12.2024;Regular Season;Timberwolves;Away;W;113;103;;Played;34;31;0;3;3;10;1;0;1;1;10;21;7;16;4;5
28;23.12.2024;Regular Season;Pacers;Home;L;105;111;;Played;35;10;0;5;5;7;0;3;3;1;2;13;2;9;4;4
29;25.12.2024;Regular Season;Lakers;Home;L;113;115;;Played;36;38;0;1;1;6;0;0;4;3;14;24;8;15;2;2
30;27.12.2024;Regular Season;Clippers;Away;L;92;102;;DNP - Inactive - Injury/illness;;;;;;;;;;;;;;;;
31;28.12.2024;Regular Season;Suns;Home;W;109;105;;Played;35;22;2;4;6;6;1;0;5;3;9;22;4;13;0;0
