Game;Date;SeasonType;Opponent;HomeAway;Result;TeamScore;OppScore;OT;Status;Min;Pts;ORb;DRb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;3PM;3PA;FTM;FTA
1;17.10.2017;Regular Season;Rockets;Home;L;121;122;;Played;30;22;0;5;5;4;1;0;2;4;8;18;3;9;3;3
2;20.10.2017;Regular Season;Pelicans;Away;W;128;120;;Played;35;28;0;3;3;8;0;0;1;1;7;16;4;11;10;10
3;21.10.2017;Regular Season;Grizzlies;Away;L;101;111;;Played;30;37;0;6;6;3;0;0;2;5;9;17;6;11;13;13
4;23.10.2017;Regular Season;Mavericks;Away;W;133;103;;Played;31;29;2;0;2;8;4;0;6;1;7;15;2;10;13;13
5;25.10.2017;Regular Season;Raptors;Home;W;117;112;;Played;38;30;0;4;4;5;3;1;2;2;9;20;4;11;8;8
6;27.10.2017;Regular Season;Wizards;Home;W;120;117;;Played;36;20;0;5;5;8;2;0;2;2;7;19;3;13;3;3
7;29.10.2017;Regular Season;Pistons;Home;L;107;115;;Played;35;27;1;5;6;8;1;0;5;3;11;17;3;7;2;3
8;30.10.2017;Regular Season;Clippers;Away;W;141;113;;Played;30;31;2;3;5;6;2;1;1;3;9;14;7;11;6;8
9;02.11.2017;Regular Season;Spurs;Away;W;112;92;;Played;32;21;1;7;8;5;3;0;2;2;7;13;3;4;4;4
10;04.11.2017;Regular Season;Nuggets;Away;W;127;108;;Played;30;22;0;0;0;11;2;0;3;0;7;14;5;10;3;4
11;06.11.2017;Regular Season;Heat;Home;W;97;80;;Played;34;16;0;5;5;4;2;0;1;3;5;19;2;9;4;5
12;08.11.2017;Regular Season;Timberwolves;Home;W;125;101;;Played;30;22;0;8;8;8;2;1;5;2;7;16;2;7;6;6
13;11.11.2017;Regular Season;76ers;Home;W;135;114;;Played;30;22;0;4;4;9;1;0;2;0;5;12;3;8;9;9
14;13.11.2017;Regular Season;Magic;Home;W;110;100;;DNP - Inactive;;;;;;;;;;;;;;;;
15;16.11.2017;Regular Season;Celtics;Away;L;88;92;;Played;31;9;2;4;6;5;4;0;4;5;3;14;2;9;1;2
16;18.11.2017;Regular Season;76ers;Away;W;124;116;;Played;35;35;0;5;5;5;0;1;2;1;11;22;4;9;9;9
17;19.11.2017;Regular Season;Nets;Away;W;118;111;;Played;33;39;3;8;11;7;3;0;7;6;14;24;4;10;7;8
18;22.11.2017;Regular Season;Thunder;Away;L;91;108;;Played;31;24;1;4;5;6;1;0;6;1;9;18;3;8;3;3
19;24.11.2017;Regular Season;Bulls;Home;W;143;94;;Played;27;33;0;7;7;4;2;0;2;2;10;18;4;11;9;9
20;25.11.2017;Regular Season;Pelicans;Home;W;110;95;;Played;36;27;0;4;4;6;1;0;1;2;9;25;3;13;6;6
21;27.11.2017;Regular Season;Kings;Home;L;106;110;;DNP - Inactive;;;;;;;;;;;;;;;;
22;29.11.2017;Regular Season;Lakers;Away;W;127;123;OT;Played;39;28;0;5;5;7;0;0;5;4;9;20;3;9;7;8
23;01.12.2017;Regular Season;Magic;Away;W;133;112;;Played;33;23;1;5;6;10;3;0;4;2;9;20;3;8;2;2
24;03.12.2017;Regular Season;Heat;Away;W;123;95;;Played;30;30;0;2;2;3;2;0;0;1;11;16;5;9;3;4
25;04.12.2017;Regular Season;Pelicans;Away;W;125;115;;Played;34;31;2;3;5;11;1;0;2;5;9;19;5;11;8;9
26;06.12.2017;Regular Season;Hornets;Away;W;101;87;;DNP - Inactive;;;;;;;;;;;;;;;;
27;08.12.2017;Regular Season;Pistons;Away;W;102;98;;DNP - Inactive;;;;;;;;;;;;;;;;
28;11.12.2017;Regular Season;Trail Blazers;Home;W;111;104;;DNP - Inactive;;;;;;;;;;;;;;;;
29;14.12.2017;Regular Season;Mavericks;Home;W;112;97;;DNP - Inactive;;;;;;;;;;;;;;;;
30;18.12.2017;Regular Season;Lakers;Away;W;116;114;OT;DNP - Inactive;;;;;;;;;;;;;;;;
31;20.12.2017;Regular Season;Grizzlies;Home;W;97;84;;DNP - Inactive;;;;;;;;;;;;;;;;
32;22.12.2017;Regular Season;Lakers;Home;W;113;106;;DNP - Inactive;;;;;;;;;;;;;;;;
33;23.12.2017;Regular Season;Nuggets;Home;L;81;96;;DNP - Inactive;;;;;;;;;;;;;;;;
34;25.12.2017;Regular Season;Cavaliers;Home;W;99;92;;DNP - Inactive;;;;;;;;;;;;;;;;
35;27.12.2017;Regular Season;Jazz;Home;W;126;101;;DNP - Inactive;;;;;;;;;;;;;;;;
36;29.12.2017;Regular Season;Hornets;Home;L;100;111;;DNP - Inactive;;;;;;;;;;;;;;;;
37;30.12.2017;Regular Season;Grizzlies;Home;W;141;128;;Played;26;38;0;4;4;3;0;0;0;2;13;17;10;13;2;2
38;03.01.2018;Regular Season;Mavericks;Away;W;125;122;;Played;34;32;0;5;5;8;1;0;3;1;11;19;6;13;4;5
39;04.01.2018;Regular Season;Rockets;Away;W;124;114;;Played;37;29;0;9;9;5;1;0;3;3;10;20;4;10;5;6
40;06.01.2018;Regular Season;Clippers;Away;W;121;105;;Played;30;45;2;4;6;3;3;0;2;2;11;21;8;16;15;16
41;08.01.2018;Regular Season;Nuggets;Home;W;124;114;;Played;35;32;1;3;4;9;2;0;6;3;9;17;5;10;9;10
