Game;Date;SeasonType;Opponent;HomeAway;Result;TeamScore;OppScore;OT;Status;Min;Pts;ORb;DRb;Reb;Ast;Stl;Blk;TO;PF;FGM;FGA;3PM;3PA;FTM;FTA
1;16.10.2018;Regular Season;Thunder;Home;W;108;100;;Played;37;32;0;8;8;9;1;0;3;4;11;20;5;9;5;5
2;19.10.2018;Regular Season;Jazz;Away;W;124;123;;Played;37;31;1;3;4;8;2;0;4;2;13;24;5;9;0;1
3;21.10.2018;Regular Season;Nuggets;Away;L;98;100;;Played;39;30;0;4;4;6;0;0;2;4;10;23;6;16;4;4
4;22.10.2018;Regular Season;Suns;Home;W;123;103;;Played;30;29;0;4;4;8;2;0;3;0;11;18;6;13;1;2
5;24.10.2018;Regular Season;Wizards;Home;W;144;122;;Played;32;51;0;4;4;3;0;1;2;1;15;24;11;16;10;10
6;26.10.2018;Regular Season;Knicks;Away;W;128;100;;Played;33;29;1;3;4;2;1;0;3;2;10;18;6;11;3;3
7;28.10.2018;Regular Season;Nets;Away;W;120;114;;Played;36;35;1;6;7;3;1;0;2;1;11;26;7;15;6;7
8;29.10.2018;Regular Season;Bulls;Away;W;149;124;;Played;25;23;0;8;8;5;2;0;1;3;7;9;2;4;7;7
9;31.10.2018;Regular Season;Pelicans;Home;W;131;121;;Played;37;37;0;2;2;9;2;0;5;3;12;20;7;11;6;7
10;02.11.2018;Regular Season;Timberwolves;Home;W;116;99;;Played;35;28;1;8;9;7;0;2;4;3;11;24;4;12;2;2
11;05.11.2018;Regular Season;Grizzlies;Home;W;117;101;;Played;32;19;2;3;5;7;1;1;5;1;6;17;3;6;4;4
12;08.11.2018;Regular Season;Bucks;Home;L;111;134;;Played;26;10;0;1;1;6;0;0;2;4;5;14;0;4;0;0
13;10.11.2018;Regular Season;Nets;Home;W;116;100;;DNP - Inactive;;;;;;;;;;;;;;;;
14;12.11.2018;Regular Season;Clippers;Away;L;116;121;OT;DNP - Inactive;;;;;;;;;;;;;;;;
15;13.11.2018;Regular Season;Hawks;Home;W;110;103;;DNP - Inactive;;;;;;;;;;;;;;;;
16;15.11.2018;Regular Season;Rockets;Away;L;86;107;;DNP - Inactive;;;;;;;;;;;;;;;;
17;17.11.2018;Regular Season;Mavericks;Away;L;109;112;;DNP - Inactive;;;;;;;;;;;;;;;;
18;18.11.2018;Regular Season;Spurs;Away;L;92;104;;DNP - Inactive;;;;;;;;;;;;;;;;
19;21.11.2018;Regular Season;Thunder;Home;L;95;123;;DNP - Inactive;;;;;;;;;;;;;;;;
20;23.11.2018;Regular Season;Trail Blazers;Home;W;125;97;;DNP - Inactive;;;;;;;;;;;;;;;;
21;24.11.2018;Regular Season;Kings;Home;W;117;116;;DNP - Inactive;;;;;;;;;;;;;;;;
22;26.11.2018;Regular Season;Magic;Home;W;116;110;;DNP - Inactive;;;;;;;;;;;;;;;;
23;29.11.2018;Regular Season;Raptors;Away;L;128;131;OT;DNP - Inactive;;;;;;;;;;;;;;;;
24;01.12.2018;Regular Season;Pistons;Away;L;102;111;;Played;37;27;0;5;5;3;2;0;7;4;10;21;3;9;4;4
